index,match_id,period,timestamp,minute,second,event_type_id,event_type_name,team_name,player_name,location_x,location_y,end_location_x,end_location_y,outcome_name,statsbomb_xg
391,3919062,1,00:11:07.143,11,7,16,Shot,América,Richard Rafael Sánchez Guerrero,87.0,35.3,120.0,43.0,Off T,0.026060292
562,3919062,1,00:15:06.198,15,6,16,Shot,Atlético San Luis,Vitor Samuel Ferreira Arantes,99.9,50.9,117.1,41.6,Saved,0.07959045
840,3919062,1,00:21:51.413,21,51,16,Shot,Atlético San Luis,Iker Moreno,91.9,50.4,120.0,45.3,Off T,0.013992937
1337,3919062,1,00:40:06.780,40,6,16,Shot,Atlético San Luis,Julio César Domínguez Juárez,114.0,43.4,120.0,42.0,Post,0.32640022
1350,3919062,1,00:40:16.562,40,16,16,Shot,Atlético San Luis,Franck Boli,107.5,54.5,108.9,53.2,Blocked,0.032309137
1362,3919062,1,00:41:19.779,41,19,16,Shot,Atlético San Luis,Julio César Domínguez Juárez,107.7,41.4,118.1,37.8,Saved,0.0239465
1652,3919062,2,00:00:50.510,45,50,16,Shot,América,Néstor Alejandro Araújo Razo,108.7,39.1,120.0,44.7,Off T,0.07941334
1702,3919062,2,00:02:16.651,47,16,16,Shot,América,Jonathan dos Santos Ramírez,74.7,21.9,113.7,38.3,Saved to Post,0.009413296
1753,3919062,2,00:04:01.414,49,1,16,Shot,América,Javairô Dilrosun,116.1,53.4,118.7,44.7,Saved,0.019805176
1942,3919062,2,00:08:05.225,53,5,16,Shot,América,Diego Alfonso Valdés Contreras,113.9,34.7,120.0,40.4,Goal,0.18990135
2040,3919062,2,00:12:16.486,57,16,16,Shot,América,Henry Josué Martín Mex,112.4,39.6,120.0,35.5,Off T,0.24477398
2115,3919062,2,00:15:14.146,60,14,16,Shot,América,Henry Josué Martín Mex,109.1,40.1,118.8,42.9,Saved,0.045522127
2258,3919062,2,00:18:41.367,63,41,16,Shot,Atlético San Luis,Franck Boli,105.2,39.3,120.0,44.0,Post,0.15805852
2315,3919062,2,00:20:28.009,65,28,16,Shot,Atlético San Luis,Franck Boli,111.8,34.6,118.0,39.1,Saved,0.121748075
2330,3919062,2,00:21:20.841,66,20,16,Shot,Atlético San Luis,Aldo Jafid Cruz Sánchez,107.8,25.9,120.0,35.9,Off T,0.033458855
2398,3919062,2,00:24:13.627,69,13,16,Shot,Atlético San Luis,Javier Güemez López,90.0,41.2,120.0,37.5,Off T,0.026935404
2482,3919062,2,00:25:59.961,70,59,16,Shot,Atlético San Luis,Franck Boli,109.0,41.7,117.8,41.4,Saved,0.09750638
2711,3919062,2,00:32:34.462,77,34,16,Shot,Atlético San Luis,David Rodríguez Uribe,105.2,46.6,120.0,36.9,Off T,0.07433725
2762,3919062,2,00:34:17.558,79,17,16,Shot,Atlético San Luis,Javier Güemez López,112.6,24.8,113.4,26.0,Blocked,0.014233542
2773,3919062,2,00:34:29.843,79,29,16,Shot,Atlético San Luis,Benjamín Ignacio Galdames Millán,110.3,53.2,120.0,34.0,Off T,0.060361177
2895,3919062,2,00:38:28.789,83,28,16,Shot,América,Paul Brian Rodríguez Bravo,104.0,35.8,120.0,43.6,Goal,0.0970269
3157,3919062,2,00:46:21.940,91,21,16,Shot,América,Paul Brian Rodríguez Bravo,107.1,52.0,120.0,44.6,Off T,0.31665495
3220,3919062,2,00:48:01.836,93,1,16,Shot,América,Santiago Naveda Lara,65.3,62.1,120.0,0.9,Wayward,0.0073275114
3250,3919062,2,00:49:55.678,94,55,16,Shot,Atlético San Luis,Franck Boli,108.1,40.1,120.0,41.4,Goal,0.7835
3259,3919062,2,00:51:01.267,96,1,16,Shot,América,Diego Alfonso Valdés Contreras,93.7,37.0,120.0,35.0,Off T,0.06394721
96,3919022,1,00:02:28.851,2,28,16,Shot,América,Henry Josué Martín Mex,107.7,39.0,120.0,43.4,Off T,0.10662955
127,3919022,1,00:03:17.162,3,17,16,Shot,América,Julián Andrés Quiñones Quiñones,104.4,33.9,120.0,43.1,Goal,0.39140144
151,3919022,1,00:05:57.230,5,57,16,Shot,América,Alejandro Zendejas Saavedra,93.5,43.3,96.3,43.1,Blocked,0.02402008
484,3919022,1,00:14:34.463,14,34,16,Shot,América,Alejandro Zendejas Saavedra,99.6,33.0,119.3,36.7,Saved,0.06830286
611,3919022,1,00:17:55.457,17,55,16,Shot,Cruz Azul,Rodrigo Huescas,111.1,42.5,111.8,42.2,Blocked,0.0695325
1561,3919022,1,00:44:59.653,44,59,16,Shot,Cruz Azul,Carlos Rodolfo Rotondi,111.2,29.9,120.0,37.7,Off T,0.12694834
1878,3919022,2,00:00:57.325,45,57,16,Shot,Cruz Azul,Alexis Hazael Gutiérrez Torres,109.5,35.5,113.1,46.3,Wayward,0.20009908
2220,3919022,2,00:10:17.479,55,17,16,Shot,América,Diego Alfonso Valdés Contreras,37.0,37.8,99.6,40.5,Saved,0.0058508036
2305,3919022,2,00:11:36.569,56,36,16,Shot,Cruz Azul,Gonzalo Rubén Piovi,92.1,30.1,118.8,39.6,Saved,0.025671845
2530,3919022,2,00:17:09.485,62,9,16,Shot,Cruz Azul,Gonzalo Rubén Piovi,92.9,26.0,120.0,46.5,Off T,0.021780347
2674,3919022,2,00:19:46.634,64,46,16,Shot,América,Julián Andrés Quiñones Quiñones,105.5,32.8,112.6,36.0,Saved,0.16047889
2759,3919022,2,00:21:08.155,66,8,16,Shot,Cruz Azul,Carlos Uriel Antuna Romero,104.2,50.2,105.7,49.1,Blocked,0.052118026
2987,3919022,2,00:30:06.128,75,6,16,Shot,América,Henry Josué Martín Mex,113.3,41.4,120.0,42.9,Off T,0.22767313
